# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR Ha_SCALE number grism_id z_max_grism uvj
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
goodss 194 3 1 0 0.6507 0.621 0.627 0.678 0.711 6.9255 4.4768 2.4486 41072000000.0 10211000000.0 0.0 0.6507 3.0 180.1 12.17 6962200000.0 6807400000.0 -1.16 -99.0 -99.0 -99.0 -99.0 -99.0 194 00000 -1.0 1.0
goodss 197 3 1 0 1.4026 1.344 1.366 1.441 1.476 17.126 12.437 4.6883 114110000000.0 19551000000.0 0.0 1.403 3.0 49.25 9.562 14879000000.0 13034000000.0 -1.11 -99.0 -99.0 -99.0 -99.0 -99.0 197 00000 -1.0 1.0
goodss 200 3 1 -1 0.7008 0.648 0.673 0.73 0.754 0.25229 -99.0 0.25229 -99.0 1052100000.0 2.0 0.7008 3.0 -15.48 9.036 1184100000.0 701380000.0 -1.87 -99.0 -99.0 -99.0 -99.0 -99.0 200 00000 -1.0 1.0
goodss 206 3 1 0 1.097 1.047 1.067 1.128 1.141 3.0922 1.8468 1.2454 16943000000.0 5193400000.0 0.0 1.097 3.0 20.29 11.02 4596800000.0 3462300000.0 -1.48 -99.0 -99.0 -99.0 -99.0 -99.0 206 00000 -1.0 1.0
goodss 209 2 1 1 0.6603 0.6511 0.6564 0.6645 0.6684 0.53766 0.28834 0.24932 2645300000.0 1039700000.0 0.0 0.6603 2.0 11.29 10.84 1154100000.0 693140000.0 -1.89 3.68 2.75 261.16 218.77 1.737 209 goodss-15-G141_00209 0.6603 1.0
goodss 211 3 1 -1 1.2002 1.036 1.107 1.282 1.324 0.79683 0.39557 0.40126 3629100000.0 1673300000.0 1.0 1.2 3.0 3.072 6.918 1837700000.0 1115500000.0 -1.79 4.16 0.78 2.1279340768252187e+93 inf 7.782339119473175e+92 211 goodss-15-G141_00211 1.07508 1.0
goodss 216 3 1 -1 1.0471 0.893 0.974 1.121 1.203 2.8184 2.4414 0.37703 22398000000.0 1572300000.0 0.0 1.047 3.0 32.09 8.349 1816500000.0 1048200000.0 -1.88 -99.0 -99.0 -99.0 -99.0 -99.0 216 00000 -1.0 1.0
goodss 226 3 1 -1 0.5221 0.472 0.49 0.554 0.578 0.21452 0.070435 0.14408 646190000.0 600850000.0 1.0 0.5221 3.0 4.617 9.238 690850000.0 400570000.0 -1.89 -99.0 -99.0 -99.0 -99.0 -99.0 226 00000 -1.0 1.0
goodss 229 3 1 -1 2.8841 2.671 2.775 2.982 3.058 445.66 441.28 4.3701 4048500000000.0 18224000000.0 0.0 2.884 3.0 253.1 11.18 7428700000.0 12149000000.0 -0.19 -99.0 -99.0 -99.0 -99.0 -99.0 229 00000 -1.0 2.0
goodss 230 3 1 -1 0.9414 0.857 0.881 1.022 1.083 0.30946 -99.0 0.30946 -99.0 1290500000.0 2.0 0.9414 3.0 -14.46 9.684 1514200000.0 860320000.0 -1.91 -99.0 -99.0 -99.0 -99.0 -99.0 230 00000 -1.0 1.0
